Name	Version	Channel
dejavu-sans-fonts.noarch	2.33-6.el7	@c7-media
dejavu-sans-mono-fonts.noarch	2.33-6.el7	@c7-media
dejavu-serif-fonts.noarch	2.33-6.el7	@c7-media
deltarpm.x86_64	3.6-3.el7	@c7-media
desktop-file-utils.x86_64	0.23-1.el7	@c7-media
device-mapper.x86_64	7:1.02.149-8.el7	@anaconda
device-mapper-event.x86_64	7:1.02.149-8.el7	@c7-media
device-mapper-event-libs.x86_64	7:1.02.149-8.el7	@c7-media
device-mapper-libs.x86_64	7:1.02.149-8.el7	@anaconda
device-mapper-multipath.x86_64	0.4.9-123.el7	@c7-media
device-mapper-multipath-libs.x86_64	0.4.9-123.el7	@c7-media
device-mapper-persistent-data.x86_64	0.7.3-3.el7	@c7-media
dhclient.x86_64	12:4.2.5-68.el7.centos.1	@anaconda
dhcp-common.x86_64	12:4.2.5-68.el7.centos.1	@anaconda
dhcp-libs.x86_64	12:4.2.5-68.el7.centos.1	@anaconda
diffstat.x86_64	1.57-4.el7	@base
diffutils.x86_64	3.3-4.el7	@anaconda
dkms.noarch	2.7.1-1.el7	@epel
dleyna-connector-dbus.x86_64	0.2.0-2.el7	@c7-media
dleyna-core.x86_64	0.5.0-1.el7	@c7-media
dleyna-server.x86_64	0.5.0-3.el7	@c7-media
dmidecode.x86_64	1:3.1-2.el7	@anaconda
dmraid.x86_64	1.0.0.rc16-28.el7	@c7-media
dmraid-events.x86_64	1.0.0.rc16-28.el7	@c7-media
dnsmasq.x86_64	2.76-7.el7	@c7-media
docbook-dtds.noarch	1.0-60.el7	@base
docbook-style-xsl.noarch	1.78.1-3.el7	@base
docker-ce.x86_64	3:19.03.11-3.el7	@docker-ce-stable
docker-ce-cli.x86_64	1:19.03.11-3.el7	@docker-ce-stable
dos2unix.x86_64	6.0.3-7.el7	@base
dosfstools.x86_64	3.0.20-10.el7	@c7-media
dotconf.x86_64	1.3-8.el7	@c7-media
doxygen.x86_64	1:1.8.5-3.el7	@base
dpkg.x86_64	1.18.25-9.el7	@epel
dpkg-dev.noarch	1.18.25-9.el7	@epel
dpkg-perl.noarch	1.18.25-9.el7	@epel
dracut.x86_64	033-554.el7	@anaconda
dracut-config-rescue.x86_64	033-554.el7	@anaconda
dracut-network.x86_64	033-554.el7	@anaconda
dstat.noarch	0.7.2-12.el7	@c7-media
dump_pr.x86_64	1.0-0.35.g32c9c85.45101	installed
dvd+rw-tools.x86_64	7.1-15.el7	@c7-media
dwz.x86_64	0.11-3.el7	@base
dyninst.x86_64	9.3.1-2.el7	@c7-media
e2fsprogs.x86_64	1.42.9-16.el7	@base
e2fsprogs-libs.x86_64	1.42.9-16.el7	@base
ebtables.x86_64	2.0.10-16.el7	@anaconda
ed.x86_64	1.9-4.el7	@c7-media
efivar-libs.x86_64	36-11.el7	@c7-media
ekiga.x86_64	4.0.1-8.el7	@c7-media
elfutils.x86_64	0.172-2.el7	@c7-media
elfutils-default-yama-scope.noarch	0.172-2.el7	@anaconda
elfutils-libelf.x86_64	0.172-2.el7	@anaconda
elfutils-libelf-devel.x86_64	0.172-2.el7	@base
elfutils-libs.x86_64	0.172-2.el7	@anaconda
emacs-filesystem.noarch	1:24.3-22.el7	@c7-media
empathy.x86_64	3.12.13-1.el7	@c7-media
enchant.x86_64	1:1.6.0-8.el7	@c7-media
endpoint-repo.x86_64	1.7-1	installed
enscript.x86_64	1.6.6-6.el7	@c7-media
environment-modules.x86_64	3.2.10-10.el7	@base
eog.x86_64	3.28.3-1.el7	@c7-media
epel-release.noarch	7-12	@epel
espeak.x86_64	1.47.11-4.el7	@c7-media
ethtool.x86_64	2:4.8-9.el7	@anaconda
evince.x86_64	3.28.2-5.el7	@c7-media
evince-libs.x86_64	3.28.2-5.el7	@c7-media
evince-nautilus.x86_64	3.28.2-5.el7	@c7-media
evolution.x86_64	3.28.5-2.el7	@c7-media
evolution-data-server.x86_64	3.28.5-1.el7	@c7-media
evolution-data-server-langpacks.noarch	3.28.5-1.el7	@c7-media
evolution-ews.x86_64	3.28.5-1.el7	@c7-media
evolution-ews-langpacks.noarch	3.28.5-1.el7	@c7-media
evolution-help.noarch	3.28.5-2.el7	@c7-media
evolution-langpacks.noarch	3.28.5-2.el7	@c7-media
evolution-mapi.x86_64	3.28.3-2.el7	@c7-media
evolution-mapi-langpacks.noarch	3.28.3-2.el7	@c7-media
exempi.x86_64	2.2.0-8.el7	@c7-media
exiv2-libs.x86_64	0.26-3.el7	@c7-media
expat.x86_64	2.1.0-11.el7	@base
expat-devel.x86_64	2.1.0-11.el7	@base
expressvpn.x86_64	2.4.4.19-1	installed
farstream.x86_64	0.1.2-8.el7	@c7-media
farstream02.x86_64	0.2.3-3.el7	@c7-media
fcoe-utils.x86_64	1.0.32-1.el7	@c7-media
festival.x86_64	1.96-28.el7	@c7-media
festival-freebsoft-utils.noarch	0.10-7.el7	@c7-media
festival-lib.x86_64	1.96-28.el7	@c7-media
festival-speechtools-libs.x86_64	1.2.96-28.el7	@c7-media
festvox-slt-arctic-hts.noarch	0.20061229-28.el7	@c7-media
fftw-libs-double.x86_64	3.3.3-8.el7	@c7-media
file.x86_64	5.11-35.el7	@anaconda
file-libs.x86_64	5.11-35.el7	@anaconda
file-roller.x86_64	3.28.1-2.el7	@c7-media
file-roller-nautilus.x86_64	3.28.1-2.el7	@c7-media
filesystem.x86_64	3.2-25.el7	@anaconda
findutils.x86_64	1:4.5.11-6.el7	@anaconda
fipscheck.x86_64	1.4.1-6.el7	@anaconda
fipscheck-lib.x86_64	1.4.1-6.el7	@anaconda
firefox.x86_64	60.2.2-1.el7.centos	@c7-media
firewall-config.noarch	0.6.3-2.el7_7.2	@updates
firewalld.noarch	0.6.3-2.el7_7.2	@updates
firewalld-filesystem.noarch	0.6.3-2.el7_7.2	@updates
firstboot.x86_64	19.12-1.el7	@c7-media
flac-libs.x86_64	1.3.0-5.el7_1	@c7-media
flatpak.x86_64	1.0.2-2.el7	@c7-media
flatpak-libs.x86_64	1.0.2-2.el7	@c7-media
flex.x86_64	2.5.37-6.el7	@base
flite.x86_64	1.3-22.el7	@c7-media
folks.x86_64	1:0.11.4-1.el7	@c7-media
fontconfig.x86_64	2.13.0-4.3.el7	@c7-media
fontconfig-devel.x86_64	2.13.0-4.3.el7	@base
fontpackages-filesystem.noarch	1.44-8.el7	@c7-media
fprintd.x86_64	0.8.1-2.el7	@c7-media
fprintd-pam.x86_64	0.8.1-2.el7	@c7-media
freerdp-libs.x86_64	1.0.2-15.el7	@c7-media
freetype.x86_64	2.8-14.el7	@base
freetype-devel.x86_64	2.8-14.el7	@base
freexl.x86_64	1.0.5-1.el7	@epel
frei0r-plugins.x86_64	1.3-13.el7	@c7-media
